t,conf,xyxy
1950,0.7287039,"[138,0,263,49]"
1960,0.75637496,"[148,0,264,77]"
1970,0.7710335,"[156,10,267,92]"
1980,0.76817954,"[162,0,278,79]"
1990,0.7354519,"[163,0,286,61]"
2000,0.6651555,"[147,0,269,55]"
2010,0.7429256,"[147,0,258,70]"
2020,0.77619374,"[133,0,245,69]"
2030,0.74686986,"[132,43,227,115]"
2040,0.7150048,"[121,65,208,133]"
2050,0.7630272,"[123,74,210,145]"
2060,0.725986,"[128,75,215,146]"
2070,0.70338696,"[131,81,218,151]"
2080,0.7144954,"[118,92,201,160]"
2090,0.6138411,"[57,133,128,200]"
2100,0.5340979,"[1,145,113,263]"
2110,0.6729717,"[80,166,115,203]"
2120,0.5632169,"[73,142,111,183]"
2130,0.6175092,"[148,205,262,312]"
2140,0.4478588,"[144,191,266,306]"
2150,0.5028128,"[0,100,46,215]"
2160,0.39747244,"[3,244,72,309]"
2170,0.45449668,"[81,118,118,160]"
2180,0.46839443,"[0,159,45,223]"
2190,0.54088646,"[131,125,168,161]"
2200,0.6482804,"[204,126,243,164]"
2210,0.71284634,"[241,131,276,163]"
2220,0.7297217,"[111,117,180,175]"
2230,0.7888909,"[135,112,205,169]"
2240,0.58204794,"[324,157,418,279]"
2250,0.5419741,"[384,109,418,152]"
2260,0.5336196,"[0,248,38,308]"
2270,0.6862352,"[353,278,390,318]"
2280,0.39787456,"[0,164,56,209]"
2290,0.47816232,"[94,183,293,250]"
2300,0.6387762,"[76,155,299,289]"
2310,0.6228836,"[79,155,296,296]"
2320,0.41046572,"[66,177,272,279]"
2330,0.65104246,"[289,213,338,250]"
2340,0.44012204,"[244,47,274,83]"
2350,0.44056627,"[309,172,378,259]"
2360,0.46948048,"[160,112,193,147]"
2370,0.63306457,"[93,115,132,155]"
2380,0.6378439,"[160,158,231,218]"
2390,0.59242386,"[137,178,208,240]"
2400,0.4954845,"[22,158,57,196]"
2410,0.66838205,"[209,177,244,211]"
2420,0.5478642,"[105,182,179,250]"
2430,0.64073765,"[120,182,193,249]"
2440,0.6451504,"[121,181,196,248]"
2450,0.71332294,"[131,170,207,239]"
2460,0.6562873,"[136,106,220,180]"
2470,0.67827183,"[143,95,227,166]"
2480,0.57397157,"[130,98,209,163]"
2490,0.62634945,"[119,54,207,125]"
2500,0.7370553,"[119,50,209,121]"
2510,0.7168981,"[120,42,214,114]"
2520,0.7016546,"[118,44,210,117]"
2530,0.7162781,"[114,55,205,130]"
2540,0.66216135,"[114,67,202,140]"
2550,0.6676691,"[124,89,205,156]"
2560,0.62516,"[134,93,213,158]"
2570,0.6623372,"[135,89,217,155]"
2580,0.6348854,"[133,88,215,155]"
2590,0.58143467,"[131,90,214,158]"
2600,0.6540414,"[134,106,214,173]"
2610,0.561084,"[128,127,205,192]"
2620,0.46928,"[225,127,260,158]"
2630,0.7179364,"[111,137,186,204]"
2640,0.67472106,"[126,133,200,198]"
2650,0.70243293,"[156,139,229,200]"
2660,0.72514516,"[179,135,252,197]"
2670,0.7221688,"[186,134,259,197]"
2680,0.6112737,"[213,131,283,193]"
2690,0.5257195,"[241,121,361,229]"
2700,0.58558184,"[195,84,240,129]"
2710,0.5510521,"[333,130,390,202]"
2720,0.56661624,"[342,156,395,227]"
2730,0.43657514,"[351,190,404,264]"
2740,0.58798707,"[352,170,405,247]"
2750,0.41183907,"[66,16,109,52]"
2760,0.42864183,"[62,21,104,58]"
2770,0.52483803,"[348,112,399,187]"
2780,0.5335388,"[56,20,98,59]"
2790,0.4992509,"[346,110,398,185]"
2800,0.57602596,"[349,113,402,188]"
2810,0.45964366,"[68,36,108,72]"
2820,0.5088995,"[345,106,424,223]"
2830,0.64099586,"[360,139,412,216]"
2840,0.6315277,"[360,139,413,217]"
2850,0.5916269,"[359,136,411,214]"
2860,0.521004,"[348,108,424,227]"
2870,0.555852,"[347,106,425,227]"
2880,0.54747725,"[348,112,424,229]"
2890,0.4942401,"[69,57,108,96]"
2900,0.5461957,"[359,140,413,217]"
2910,0.490882,"[359,138,413,215]"
2920,0.51665246,"[359,137,412,214]"
2930,0.5207495,"[68,57,107,95]"
2940,0.5832732,"[358,132,411,209]"
2950,0.5279316,"[344,94,424,212]"
2960,0.5224584,"[353,118,407,196]"
2970,0.5143963,"[351,120,407,197]"
2980,0.5299541,"[352,121,406,197]"
2990,0.48745516,"[333,94,424,212]"
3000,0.6100788,"[350,121,405,198]"
3010,0.4987029,"[352,121,409,199]"
3020,0.4791183,"[60,46,100,85]"
3030,0.6581997,"[347,115,404,193]"
3040,0.59718174,"[345,118,403,196]"
3050,0.5102916,"[347,122,405,202]"
3060,0.5201785,"[330,98,424,217]"
3070,0.41043434,"[352,119,409,199]"
3080,0.5265663,"[329,97,424,213]"
3090,0.45843202,"[333,109,424,223]"
3100,0.5280808,"[343,111,424,227]"
3110,0.53229976,"[342,101,425,222]"
3120,0.44632706,"[363,115,415,195]"
3130,0.47688878,"[0,52,35,102]"
3140,0.5050889,"[342,89,424,209]"
3150,0.5067702,"[353,118,408,196]"
3160,0.4889373,"[340,99,424,214]"
3170,0.44569674,"[338,93,424,211]"
3180,0.5785664,"[352,117,409,196]"
3190,0.4141593,"[0,18,40,56]"
3200,0.4920295,"[359,77,415,161]"
3210,0.48325226,"[195,0,255,58]"
3220,0.6418408,"[340,97,397,169]"
3230,0.6319646,"[336,129,392,198]"
3240,0.60317284,"[329,141,386,208]"
3250,0.621618,"[321,141,375,204]"
3260,0.66149956,"[327,132,382,197]"
3270,0.67524123,"[336,118,390,188]"
3280,0.5542369,"[336,121,391,190]"
3290,0.69418716,"[333,119,389,188]"
3300,0.6892549,"[330,122,386,189]"
3310,0.6377112,"[328,126,385,193]"
3320,0.60260123,"[331,140,387,205]"
3330,0.69416916,"[327,140,383,204]"
3340,0.5119161,"[331,138,386,203]"
3350,0.52885056,"[333,138,389,204]"
3360,0.71956104,"[335,137,393,204]"
3370,0.43465728,"[337,135,394,203]"
3380,0.63224274,"[338,135,394,203]"
3390,0.68703616,"[327,138,384,205]"
3400,0.45478454,"[191,216,223,248]"
3410,0.7143001,"[184,130,254,194]"
3420,0.70677656,"[156,110,236,179]"
3430,0.78016585,"[166,88,252,160]"
3440,0.7337223,"[168,87,255,161]"
3450,0.7657913,"[165,87,253,163]"
3460,0.7623666,"[165,84,258,166]"
3470,0.7320328,"[170,91,262,173]"
3480,0.6489678,"[168,96,256,171]"
3490,0.740821,"[172,93,258,168]"
3500,0.7170285,"[176,90,264,167]"
3510,0.7378704,"[178,83,270,164]"
3520,0.75101984,"[170,91,258,167]"
3530,0.77984965,"[141,41,240,121]"
3540,0.77445793,"[150,34,253,117]"
3550,0.7770446,"[145,2,258,87]"
3560,0.8236782,"[141,1,256,87]"
3570,0.7654211,"[140,21,250,109]"
3580,0.77826744,"[149,19,260,107]"
3590,0.814631,"[153,16,264,103]"
3600,0.80127007,"[150,17,259,104]"
3610,0.79250413,"[146,14,254,99]"
3620,0.7689324,"[150,23,254,104]"
3630,0.76386297,"[154,18,260,101]"
3640,0.79228383,"[155,25,258,106]"
3650,0.7887839,"[151,12,258,94]"
3660,0.76650053,"[157,28,257,106]"
3670,0.78794837,"[158,13,264,96]"
3680,0.7314814,"[162,29,263,110]"
3690,0.732204,"[163,22,268,105]"
3700,0.71854055,"[168,32,268,114]"
3710,0.7167791,"[167,25,270,108]"
3720,0.7670214,"[173,36,271,116]"
3730,0.75208825,"[171,24,273,106]"
3740,0.73905176,"[159,47,252,122]"
3750,0.72376066,"[141,58,231,131]"
3760,0.7051442,"[135,64,225,137]"
3770,0.6897155,"[143,70,231,142]"
3780,0.66337,"[142,72,229,142]"
3790,0.58677673,"[91,101,168,166]"
3800,0.68570065,"[27,140,94,206]"
3810,0.6593023,"[146,113,185,150]"
3820,0.7086681,"[76,110,145,172]"
3830,0.75313073,"[136,102,212,165]"
3840,0.77491915,"[175,105,253,172]"
3850,0.7705486,"[174,98,258,172]"
3860,0.7606998,"[173,94,261,171]"
3870,0.78959584,"[173,91,262,170]"
3880,0.77980596,"[175,88,263,165]"
3890,0.75316,"[178,85,265,162]"
3900,0.79837596,"[178,89,263,163]"
3910,0.78801507,"[181,83,269,160]"
3920,0.79089814,"[179,84,265,160]"
3930,0.75325435,"[179,83,266,159]"
3940,0.72099024,"[178,80,266,157]"
3950,0.7866269,"[179,84,265,158]"
3960,0.75578123,"[181,79,270,158]"
3970,0.7865511,"[180,76,270,155]"
3980,0.7582504,"[178,75,268,154]"
3990,0.67604935,"[178,79,266,156]"
4000,0.7921815,"[181,79,268,156]"
4010,0.6921536,"[180,79,269,156]"
4020,0.78913224,"[181,86,266,160]"
4030,0.74751467,"[180,77,269,155]"
4040,0.77026784,"[181,81,268,158]"
4050,0.7411399,"[180,79,269,156]"
4060,0.7923784,"[180,91,265,165]"
4070,0.7516703,"[157,98,241,170]"
4080,0.78971046,"[146,98,231,170]"
4090,0.7758741,"[148,98,233,171]"
4100,0.72242004,"[154,96,238,169]"
4110,0.72789013,"[145,105,227,175]"
4120,0.6952085,"[80,137,153,202]"
4130,0.6766158,"[17,157,81,222]"
4140,0.6142264,"[126,138,163,170]"
4150,0.5977821,"[148,132,187,171]"
4160,0.7126571,"[83,128,153,190]"
4170,0.6884247,"[123,129,196,192]"
4180,0.7068724,"[161,123,237,188]"
4190,0.8143211,"[180,118,257,184]"
4200,0.77400714,"[169,111,249,180]"
4210,0.7168178,"[164,107,249,180]"
4220,0.71947414,"[167,106,252,180]"
4230,0.7548535,"[164,104,250,179]"
4240,0.7091229,"[164,104,249,178]"
4250,0.7707488,"[165,106,249,179]"
4260,0.74992865,"[166,107,250,179]"
4270,0.76591736,"[163,109,246,180]"
4280,0.7305744,"[163,103,248,176]"
4290,0.70649487,"[165,104,254,181]"
4300,0.78307647,"[167,77,261,159]"
4310,0.7334084,"[164,88,254,164]"
4320,0.7565575,"[167,86,256,163]"
4330,0.7528982,"[165,89,253,165]"
4340,0.74365854,"[169,91,255,165]"
4350,0.7466155,"[168,94,253,168]"
4360,0.77599454,"[168,93,254,166]"
4370,0.75808764,"[167,93,253,166]"
4380,0.7594169,"[167,96,252,169]"
4390,0.72208965,"[165,96,251,171]"
4400,0.6699084,"[168,98,253,172]"
4410,0.7313855,"[167,97,253,172]"
4420,0.72057277,"[168,94,254,168]"
4430,0.6971602,"[167,93,252,166]"
4440,0.7353283,"[165,94,250,166]"
4450,0.75823224,"[155,111,236,180]"
4460,0.67933774,"[144,116,224,185]"
4470,0.6501824,"[148,121,229,191]"
4480,0.74268335,"[156,115,241,189]"
4490,0.74007314,"[153,117,237,190]"
4500,0.6552886,"[88,141,163,209]"
4510,0.64374447,"[33,183,98,247]"
4520,0.65298903,"[2,193,60,257]"
4530,0.520243,"[137,159,174,195]"
4540,0.57744014,"[56,131,183,222]"
4550,0.6800308,"[170,149,236,205]"
4560,0.5747261,"[269,169,327,227]"
4570,0.639701,"[228,113,271,156]"
4580,0.5784843,"[247,104,299,157]"
4590,0.46142262,"[251,72,317,141]"
4600,0.5301522,"[116,24,172,138]"
4610,0.4942169,"[150,86,204,120]"
4620,0.52188414,"[147,74,204,111]"
4630,0.49377713,"[147,61,206,103]"
4640,0.5743527,"[174,0,301,76]"
4650,0.40349042,"[76,1,150,109]"
4660,0.57358456,"[73,14,143,107]"
4670,0.46717513,"[306,218,365,275]"
4680,0.49900147,"[134,56,185,96]"
4690,0.61116165,"[120,44,175,87]"
4700,0.5374807,"[124,60,174,99]"
4710,0.56640345,"[64,17,128,97]"
4720,0.59731644,"[161,0,262,64]"
4730,0.62073034,"[87,1,147,79]"
4740,0.5858233,"[177,5,264,89]"
4750,0.5618964,"[149,58,214,123]"
4760,0.47442916,"[154,25,226,97]"
4770,0.388031,"[132,112,167,133]"
4780,0.48004705,"[136,119,172,141]"
4790,0.4358828,"[307,123,414,230]"
4800,0.65964377,"[317,148,377,222]"
4810,0.5508992,"[299,154,359,222]"
4820,0.52493787,"[299,143,361,213]"
4830,0.44080758,"[143,88,205,149]"
4840,0.52112275,"[143,78,207,143]"
4850,0.476702,"[131,135,165,155]"
4860,0.48144802,"[131,138,164,159]"
4870,0.5489719,"[296,140,359,210]"
4880,0.68853843,"[99,115,152,170]"
4890,0.5872417,"[240,141,306,205]"
4900,0.64085877,"[213,144,276,199]"
4910,0.7380557,"[172,149,234,199]"
4920,0.6929444,"[110,161,171,209]"
4930,0.56299555,"[143,142,285,243]"
4940,0.6410106,"[0,244,59,318]"
4950,0.6654981,"[10,283,40,312]"
4960,0.44979817,"[170,206,215,294]"
4970,0.39300904,"[127,220,174,299]"
4980,0.6029097,"[0,299,52,318]"
4990,0.6402329,"[59,233,127,296]"
5000,0.59183705,"[94,186,123,215]"
5010,0.6443629,"[49,170,99,213]"
5020,0.61412495,"[143,156,175,186]"
5030,0.46692425,"[11,104,63,160]"
5040,0.57230115,"[92,102,261,190]"
5050,0.57764995,"[74,80,246,186]"
5060,0.57632023,"[56,61,238,180]"
5070,0.5073064,"[49,49,235,168]"
5080,0.54048795,"[136,58,239,149]"
5090,0.8201659,"[112,35,219,133]"
5100,0.50041324,"[378,110,424,178]"
5110,0.54546356,"[373,87,425,153]"
5120,0.65273225,"[397,100,425,162]"
5130,0.5320304,"[1,0,186,133]"
5140,0.48722503,"[8,0,200,125]"
5150,0.49703944,"[88,0,195,85]"
5160,0.5530104,"[92,0,203,86]"
5170,0.41820365,"[406,126,425,182]"
5180,0.44664103,"[78,91,236,189]"
5190,0.5441656,"[117,152,245,225]"
5200,0.5849141,"[110,181,242,248]"
5210,0.47813636,"[12,244,76,304]"
5220,0.66360855,"[144,163,177,194]"
5230,0.5791229,"[211,174,245,205]"
5240,0.72702396,"[183,150,237,193]"
5250,0.7116931,"[225,147,278,192]"
5260,0.62264335,"[193,155,249,202]"
5270,0.6575246,"[201,171,261,224]"
5280,0.59276104,"[226,185,290,243]"
5290,0.64101577,"[219,174,289,239]"
5300,0.6522981,"[186,183,254,244]"
5310,0.6614808,"[177,202,245,263]"
5320,0.70288676,"[210,209,276,272]"
5330,0.57597107,"[234,205,297,267]"
5340,0.71612406,"[219,207,286,271]"
5350,0.49821123,"[387,170,425,232]"
5360,0.58208746,"[189,210,260,279]"
5370,0.54412645,"[225,213,292,279]"
5380,0.43897644,"[285,222,341,285]"
5390,0.4958418,"[280,170,325,217]"
5400,0.53598726,"[102,146,138,175]"
5410,0.37260956,"[126,162,153,186]"
5420,0.41915402,"[163,173,202,208]"
5430,0.399072,"[42,264,97,318]"
5440,0.4397157,"[333,225,373,267]"
5450,0.44336614,"[321,199,360,241]"
5460,0.5304065,"[342,189,410,249]"
5470,0.45747447,"[155,149,194,190]"
5480,0.7132995,"[63,157,104,199]"
5490,0.7321625,"[155,163,217,214]"
5500,0.6994816,"[140,173,208,231]"
5510,0.5053143,"[142,173,212,234]"
5520,0.65622735,"[195,97,276,170]"
5530,0.62803537,"[224,75,307,152]"
5540,0.5429487,"[229,74,307,146]"
5550,0.7072628,"[225,79,299,146]"
5560,0.7013185,"[220,85,294,150]"
5570,0.7880485,"[224,82,299,150]"
5580,0.7651212,"[217,83,294,150]"
5590,0.729222,"[208,86,286,152]"
5600,0.7502963,"[195,86,274,153]"
5610,0.7091402,"[183,97,263,166]"
5620,0.72096825,"[155,122,232,187]"
5630,0.62061167,"[110,146,183,210]"
5640,0.4841416,"[250,143,409,289]"
5650,0.6394576,"[129,159,195,213]"
5660,0.52169454,"[156,158,221,212]"
5670,0.6145141,"[176,154,240,206]"
5680,0.6843813,"[182,157,246,211]"
5690,0.65432703,"[177,155,241,210]"
5700,0.6640826,"[193,148,258,203]"
5710,0.6624577,"[213,149,277,206]"
5720,0.49369204,"[291,167,390,283]"
5730,0.5459141,"[175,141,215,183]"
5740,0.5004376,"[213,276,242,314]"
5750,0.60766757,"[241,279,271,317]"
5760,0.3943731,"[337,279,375,319]"
5770,0.3457218,"[0,198,38,242]"
5780,0.50857157,"[0,185,51,232]"
5790,0.47693068,"[97,165,307,297]"
5800,0.5433055,"[105,171,310,292]"
5810,0.3716989,"[0,200,44,246]"
5820,0.53558666,"[320,229,363,264]"
5830,0.4064358,"[381,263,403,305]"
5840,0.51992923,"[300,157,334,196]"
5850,0.55903065,"[195,137,242,175]"
5860,0.5566081,"[186,146,239,187]"
5870,0.48514158,"[257,152,354,241]"
5880,0.57889044,"[201,125,258,174]"
5890,0.6635854,"[171,99,238,151]"
5900,0.69045806,"[129,87,194,132]"
5910,0.69616634,"[114,71,179,116]"
5920,0.6781889,"[98,54,172,105]"
5930,0.7092515,"[122,100,187,148]"
5940,0.69816494,"[123,144,184,192]"
5950,0.6638241,"[119,162,179,212]"
5960,0.69459194,"[138,162,199,214]"
5970,0.62364125,"[150,168,210,219]"
5980,0.6569151,"[141,167,204,219]"
5990,0.63036287,"[145,167,208,220]"
6000,0.7505961,"[125,154,190,208]"
6010,0.75199646,"[126,115,199,174]"
6020,0.69083655,"[137,93,213,155]"
6030,0.7042932,"[150,83,226,145]"
6040,0.7423848,"[141,82,216,141]"
6050,0.75648844,"[112,76,186,135]"
6060,0.7329167,"[110,84,183,142]"
6070,0.70752364,"[109,88,181,146]"
6080,0.6419643,"[109,95,180,153]"
6090,0.6285997,"[112,102,183,160]"
6100,0.6865819,"[114,107,185,165]"
6110,0.65913266,"[112,114,181,171]"
6120,0.57823735,"[109,117,177,175]"
6130,0.6018278,"[219,111,252,140]"
6140,0.60554343,"[107,125,174,182]"
6150,0.58354497,"[136,125,205,181]"
6160,0.7665388,"[177,111,246,170]"
6170,0.6925512,"[192,106,260,167]"
6180,0.7111564,"[200,120,265,180]"
6190,0.594309,"[220,132,284,193]"
6200,0.5025396,"[244,126,353,236]"
6210,0.62281805,"[281,129,342,195]"
6220,0.6226058,"[230,156,292,215]"
6230,0.7657179,"[208,167,271,222]"
6240,0.74521935,"[212,159,277,216]"
6250,0.7805083,"[207,156,272,212]"
6260,0.61202466,"[131,156,198,213]"
6270,0.5841962,"[74,170,139,229]"
6280,0.5227917,"[144,153,178,187]"
6290,0.63434076,"[131,147,166,183]"
6300,0.5112996,"[20,163,83,224]"
6310,0.594101,"[23,161,88,223]"
6320,0.59288645,"[26,160,91,223]"
6330,0.66461885,"[28,161,94,223]"
6340,0.6572915,"[34,161,99,222]"
6350,0.61307275,"[109,245,165,317]"
6360,0.6836726,"[114,245,169,317]"
6370,0.63397515,"[40,166,104,227]"
6380,0.65349805,"[113,247,165,316]"
6390,0.6577966,"[114,242,171,315]"
6400,0.6914487,"[112,242,170,315]"
6410,0.6524939,"[113,238,170,312]"
6420,0.69172925,"[119,238,180,312]"
6430,0.7071888,"[115,241,173,315]"
6440,0.7411384,"[120,239,182,311]"
6450,0.657745,"[135,242,189,312]"
6460,0.7447573,"[154,160,217,214]"
6470,0.6759538,"[153,168,217,223]"
6480,0.7188801,"[78,165,147,224]"
6490,0.6776745,"[38,149,110,213]"
6500,0.7763968,"[111,231,174,305]"
6510,0.6765186,"[46,152,114,213]"
6520,0.7053588,"[140,240,200,313]"
6530,0.62840974,"[155,169,223,226]"
6540,0.7059129,"[236,184,298,245]"
6550,0.6574241,"[264,201,324,262]"
6560,0.65378696,"[265,205,325,267]"
6570,0.67909414,"[259,205,321,268]"
6580,0.6098643,"[256,207,318,271]"
6590,0.5578785,"[160,195,231,260]"
6600,0.7550488,"[103,197,177,265]"
6610,0.69140786,"[35,210,107,278]"
6620,0.6718288,"[77,268,134,318]"
6630,0.5523998,"[125,175,160,205]"
6640,0.65488684,"[148,166,183,201]"
6650,0.6423241,"[206,207,337,286]"
6660,0.61792487,"[227,157,259,187]"
6670,0.77456856,"[122,151,186,205]"
6680,0.659393,"[127,175,193,231]"
6690,0.46650028,"[129,187,196,243]"
6700,0.610953,"[109,178,237,260]"
6710,0.4119417,"[108,187,172,249]"
